event_id,n_documents,n_filings,n_amendment_filings,n_initial_filings,has_amendment,forms,form_families,primary_form_family,entity_names,primary_entity,ciks,primary_cik,tickers,first_file_date,last_file_date,event_span_days,n_exhibits,n_primary_docs,forms_list,has_to_t,has_to_i,has_14d9,has_file_num,mvp_event_type_provisional,in_mvp_core,in_mvp_preferred,in_mvp_stretch,amendment_eval_band
005-86024,67,38,38,0,True,['SC 14D9/A' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Wright Medical Group N.V.'],Wright Medical Group N.V.,['0000310764' '0001492658'],0000310764,[],2020-01-02,2020-11-12,315,27,38,"['SC 14D9/A', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-86092,12,5,3,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Adecoagro S.A.'],Adecoagro S.A.,['0001499505' '0002049832'],0001499505,['AGRO'],2025-03-28,2025-04-25,28,7,5,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-86262,44,16,14,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Spirit Airlines, Inc.']","Spirit Airlines, Inc.",['0001158463' '0001498710'],0001158463,['SAVE'],2022-05-16,2022-07-28,73,28,16,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-86372,5,3,1,2,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['SandRidge Permian Trust'],SandRidge Permian Trust,['0001141197' '0001521168'],0001141197,[],2020-10-13,2020-11-17,35,2,3,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-86491,18,6,4,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['LUMOS PHARMA, INC.']","LUMOS PHARMA, INC.",['0001126234' '0002041697'],0001126234,['LUMO'],2024-11-13,2024-12-12,29,12,6,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-86516,38,19,17,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"[""DUNKIN' BRANDS GROUP, INC.""]","DUNKIN' BRANDS GROUP, INC.",['0001357204' '0001830085'],0001357204,[],2020-11-16,2020-12-15,29,19,19,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-86632,101,43,40,3,True,['SC 13E3' 'SC 13E3/A' 'SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['going_private' 'target_recommendation' 'third_party_tender'],mixed,['SEQUANS COMMUNICATIONS'],SEQUANS COMMUNICATIONS,['0001383395' '0001774474'],0001383395,['SQNS'],2023-09-11,2024-02-23,165,58,43,"['SC 13E3', 'SC 13E3/A', 'SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-86679,24,14,12,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['InterXion Holding N.V.'],InterXion Holding N.V.,['0001297996' '0001500866'],0001297996,[],2020-01-29,2020-03-12,43,10,14,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-86741,24,14,12,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['Synacor, Inc.']","Synacor, Inc.",['0001408278' '0001845802'],0001408278,[],2021-03-03,2021-03-31,28,10,14,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-86795,24,9,7,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['VOCERA COMMUNICATIONS, INC.']","VOCERA COMMUNICATIONS, INC.",['0000310764' '0001129260'],0000310764,[],2022-01-25,2022-02-23,29,15,9,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
